"gutenberg_id"	"text"
2852	"<Chapter 1>"
2852	"Mr. Sherlock Holmes"
2852	""
2852	""
2852	"      Mr. Sherlock Holmes, who was usually very late in the mornings,"
2852	"      save upon those not infrequent occasions when he was up all"
2852	"      night, was seated at the breakfast table. I stood upon the"
2852	"      hearth-rug and picked up the stick which our visitor had left"
2852	"      behind him the night before. It was a fine, thick piece of wood,"
2852	"      bulbous-headed, of the sort which is known as a “Penang lawyer.”"
2852	"      Just under the head was a broad silver band nearly an inch"
2852	"      across. “To James Mortimer, M.R.C.S., from his friends of the"
2852	"      C.C.H.,” was engraved upon it, with the date “1884.” It was just"
2852	"      such a stick as the old-fashioned family practitioner used to"
2852	"      carry—dignified, solid, and reassuring."
2852	""
2852	"      “Well, Watson, what do you make of it?”"
2852	""
2852	"      Holmes was sitting with his back to me, and I had given him no"
2852	"      sign of my occupation."
2852	""
2852	"      “How did you know what I was doing? I believe you have eyes in"
2852	"      the back of your head.”"
2852	""
2852	"      “I have, at least, a well-polished, silver-plated coffee-pot in"
2852	"      front of me,” said he. “But, tell me, Watson, what do you make of"
2852	"      our visitor’s stick? Since we have been so unfortunate as to miss"
2852	"      him and have no notion of his errand, this accidental souvenir"
2852	"      becomes of importance. Let me hear you reconstruct the man by an"
2852	"      examination of it.”"
2852	""
2852	"      “I think,” said I, following as far as I could the methods of my"
2852	"      companion, “that Dr. Mortimer is a successful, elderly medical"
2852	"      man, well-esteemed since those who know him give him this mark of"
2852	"      their appreciation.”"
2852	""
2852	"      “Good!” said Holmes. “Excellent!”"
2852	""
2852	"      “I think also that the probability is in favour of his being a"
2852	"      country practitioner who does a great deal of his visiting on"
2852	"      foot.”"
2852	""
2852	"      “Why so?”"
2852	""
2852	"      “Because this stick, though originally a very handsome one has"
2852	"      been so knocked about that I can hardly imagine a town"
2852	"      practitioner carrying it. The thick-iron ferrule is worn down, so"
2852	"      it is evident that he has done a great amount of walking with"
2852	"      it.”"
2852	""
2852	"      “Perfectly sound!” said Holmes."
2852	""
2852	"      “And then again, there is the ‘friends of the C.C.H.’ I should"
2852	"      guess that to be the Something Hunt, the local hunt to whose"
2852	"      members he has possibly given some surgical assistance, and which"
2852	"      has made him a small presentation in return.”"
2852	""
2852	"      “Really, Watson, you excel yourself,” said Holmes, pushing back"
2852	"      his chair and lighting a cigarette. “I am bound to say that in"
2852	"      all the accounts which you have been so good as to give of my own"
2852	"      small achievements you have habitually underrated your own"
2852	"      abilities. It may be that you are not yourself luminous, but you"
2852	"      are a conductor of light. Some people without possessing genius"
2852	"      have a remarkable power of stimulating it. I confess, my dear"
2852	"      fellow, that I am very much in your debt.”"
2852	""
2852	"      He had never said as much before, and I must admit that his words"
2852	"      gave me keen pleasure, for I had often been piqued by his"
2852	"      indifference to my admiration and to the attempts which I had"
2852	"      made to give publicity to his methods. I was proud, too, to think"
2852	"      that I had so far mastered his system as to apply it in a way"
2852	"      which earned his approval. He now took the stick from my hands"
2852	"      and examined it for a few minutes with his naked eyes. Then with"
